Product ID,SKU,Display Name
6013,SLN-01,Silver tie clip Exclusive
6014,SLN-02,Gold tie clip Exclusive
6015,SLN-03,Matt black tie clip Exclusive
6016,SLN-04,Navy tie clip Exclusive
6017,SLN-05,Burgundy tie clip Exclusive
6018,SLN-06,Dark silver tie clip Exclusive
6019,SLN-07,Tie clip Ribbed
6020,SLN-08,Tie clip silver
6021,SLN-09,Silver tie clip Trendy
6022,SLN-10,Silver tie clips Classic
6023,SLN-11,Gold tie clip Classic
6024,SLN-12,Matt black tie clip Classic
6025,SLN-13,Silver tie clip Deluxe
6026,SLN-14,Gold tie clip Deluxe
6027,SLN-15,Silver tie clip Elegant
6028,SLN-16,Gold tie clip Elegant
6029,SLN-17,Black tie clip Elegant
6030,SLN-18,Navy tie clip Elegant
6049,T-119-B,Tie clip at sign
6050,T-139-B,Tie clip football
6052,T-150-B,Tie clip triathlon
6053,T-158-B,Tie clip horse rider
6054,T-163-B,Tie clip elephant
6057,T-197-B,Tie clip french lily
6058,T-204-B,Tie clip PI
6059,T-213-B,Tie clip gear shift
6060,T-232-B,Tie clip court
6061,T-236-B,Tie clip number one
6062,T-238-B,Tie clip robot
6063,T-248B,Tie clip poker
6064,T-254-B,Gold tie clip trumpet
6066,T-329B,Tie clip wrench
6068,T-87-B,Tie clip godfather
6072,TC-04,Striped tie clip
6073,TC-05,Black tie clip
6074,TC-06,Tie clip Signature
6075,TC-07,Silver tie clip
6077,TC-09,Tie clip gold
6078,TC-10,Silver tie clip
6082,TC-120-B,Tie clip music note
6083,TC-12B,Silver tie clip Classic
6084,TC-13-B,Gold tie clip
6085,TC-13G,Gold tie clip
6088,TC-154-B,Tie clip tractor
6091,TC-170-B,Tie clip anchor
6093,TC-19,Skinny tie clip silver
6094,TC-21,Tie clip saxophone
6097,TC-222-B,Tie clip christmas tree
6098,TC-231-B,Tie clip boat steering wheel
6099,TC-237-B,Tie clip Pacman
6100,TC-25,Silver tie clip ribbed
6101,TC-257-B,Tie clip trout
6103,TC-278-B,Tie clip music
6105,TC-287-B,Tie clip mustache
6107,TC-30,Tie clip gold
6108,TC-33,Teal tie clip Classic
6109,TC-332-B,Tie clip music note
6110,TC-34,Dark grey tie clip hollow
6112,TC-36,Silver tie clip Mimosa
6113,TC-37,Tie clip elegant
6114,TC-39,Tie clip sunglasses
6115,TC-40,Tie clip black ruby
6116,TC-41,Silver tie clip Classic
6117,TC-42,Gold tie clip Classic
6118,TC-43-dk.grey,Dark grey tie clip heraldic lily
6119,TC-44,Dark grey tie clip feather
6120,TC-45,Black tie clip
6121,TC-47,Wooden tie clip
6122,TC-48,Black tie clip shark
6125,TC-52,Tie clip anchor silver
6127,TC-54,Tie clip arrow silver
6128,TC-55,Tie clip mustache silver
6129,TC-56,Tie clip mustache gold
6130,TC-56-GL-B,Tie clip french lily gold
6131,TC-57,Tie clip sunglasses silver
6132,TC-60-B,Silver tie clip music clef
6133,TC-60B,Silver tie clip Classic
6134,TC-60GL-B,Tie clip music clef
6135,TC-61-B,Tie clip golf club
6136,TC-61B,Gold tie clip Classic
6137,TC-62,Tie clip wrench
6140,TC-69,Silver tie clip axe
6142,TC-71,Tie clip pipe
6143,TC-72,Tie clip hammer
6144,TC-74,Tie clip screwdriver
6145,TC-75,Gold tie clip axe
6146,TC-76,Gold tie clip fishing hook
6151,TN-2405RG,Tie clip golf club
6152,TN-2934R2-324,Tie clip Paris
6159,TY-0911-011 silver,Tie clip shoe silver
6160,TY-0911-017 Green,Green tie clip
6161,TY-0911-019 burgundy,Burgundy tie clip red
6165,TY-0911-019 Mini - Rosa D-8,Pink tie clip
6166,TY-0911-019 Mini - Rosélila D-9,Tie clip mini rosé purple
6923,TY-0911-019 Mini - Rosélila D-9,Tie clip mini rosé purple
6168,TY-0911-019 Mini - Vit D-5,White tie clip
6183,TYTC0083,Tie clip pipe
6185,TYTC0092-27,Short tie clip silver
6186,TYTC0092-54,Silver tie clip Oslo
6677,YH7-168,Tie clip sailboat
6687,YHT-12,Tie clip eagle
6688,YHT-155,Tie clip cyclist
6689,YHT-22,Tie clip game control
6691,YHT-225,Tie clip party
6694,YHT-254S,Tie clip trumpet
6695,YHT-287,Dark silver tie clip mustache
6696,YHT-375,Tie clip airplane
