Product ID,SKU,Display Name
1033,100-01,White tie
1034,100-02,Orange tie
1035,100-04,Burgundy tie
1036,100-05,Dark purple tie
1037,100-06,Purple tie
1038,100-07,Light purple tie
1039,100-08,Turquoise tie
1040,100-09,Navy tie
1041,100-10,Blue tie
1042,100-10-01,Boys white tie
1044,100-10-02-Satin,Boys orange tie Satin
1045,100-10-04,Boys burgundy tie
1046,100-10-05,Boys dark purple tie
1047,100-10-06,Boys purple tie
1048,100-10-07,Boys light purple tie
1049,100-10-08,Boys turquoise tie
1050,100-10-09,Boys navy tie
1051,100-10-10,Boys blue tie
1053,100-10-13,Boys dark yellow tie
1054,100-10-14,Boys creme gold tie
1055,100-10-14-Satin,Boys creme gold tie Satin
1056,100-10-15,Boys black tie
1057,100-10-16,Boys lime green tie
1058,100-10-17,Boys dark green tie
1059,100-10-18,Boys dark silver tie
1060,100-10-19,Boys dark brown tie
1061,100-10-20,Boys dark pink tie
1062,100-10-21,Boys light pink tie
1063,100-10-22,Boys brown tie
1064,100-10-23,Boys mint green tie
1066,100-10-25,Boys dark coral tie
1067,100-10-25-Satin,Boys dark coral tie Satin
1068,100-10-26,Boys rust orange tie
1069,100-10-29,Boys olive green tie
1070,100-10-31,Boys cerise pink tie
1071,100-10-33,Boys teal tie
1072,100-10-35,Boys dark burgundy tie
1073,100-10-37,Boys light coral tie
1074,100-10-38,Boys light yellow tie
1075,100-10-39,Boys extra light pink tie
1076,100-10-40,Boys red tie
1077,100-10-41,Boys green tie
1079,100-10-44,Boys bronze tie
1080,100-10-45,Boys silver tie
1081,100-10-46,Boys yellow tie
1082,100-10-48,Boys coral tie
1084,100-10-51,Boys midnight navy tie
1085,100-10-52,Boys rose purple tie
1086,100-10-53,Boys old pink tie
1089,100-10-56,Boys salmon pink tie
1090,100-11,Light blue tie
1091,100-13,Dark yellow tie
1092,100-14,Creme gold tie
1093,100-15,Black tie
1094,100-16,Lime green tie
1095,100-17,Dark green tie
1096,100-18,Dark silver tie
1097,100-19,Dark brown tie
1098,100-20-01,Boys white tie
1099,100-20-02,Boys orange tie
1100,100-20-03,Boys light red tie
1102,100-20-05,Boys dark purple tie
1103,100-20-05-1,Boys dark purple tie Satin
1104,100-20-06,Boys purple tie
1105,100-20-07,Boys light purple tie
1106,100-20-07-1,Boys light purple tie Satin
1107,100-20-08,Boys turquoise tie
1109,100-20-13,Boys dark yellow tie
1110,100-20-14,Boys creme gold tie
1112,100-20-16,Boys lime green tie
1114,100-20-18,Boys dark silver tie
1116,100-20-20,Boys dark pink tie
1117,100-20-21,Boys light pink tie
1118,100-20-21-new,Boys light pink tie
1119,100-20-23,Boys mint green tie
1120,100-20-24,Boys apricot tie
1121,100-20-25,Boys dark coral tie
1122,100-20-26,Boys rust orange tie
1123,100-20-28,Boys mint blue tie
1124,100-20-31,Boys cerise pink tie
1125,100-20-33,Boys teal tie
1126,100-20-35,Boys burgundy tie
1127,100-20-37,Boys light coral tie
1128,100-20-38,Boys light yellow tie
1129,100-20-39,Boys extra light pink tie
1131,100-20-41,Boys green tie
1132,100-20-43,Boys gold tie
1133,100-20-44,Boys bronze tie
1134,100-20-45,Boys silver tie
1135,100-20-46,Boys yellow tie
1136,100-20-48,Boys coral tie
1137,100-20-50,Boys grey tie
1138,100-20-51,Boys midnight navy tie
1139,100-20-52,Boys rose purple tie
1140,100-20-53,Boys old pink tie
1141,100-20-53-1,Boys old pink tie
1142,100-20-54,Boys light green tie
1143,100-20-56,Boys salmon pink tie
1144,100-20-58,Boys grey tie
1145,100-21,Light pink tie
1146,100-22,Brown tie
1147,100-24,Apricot tie
1148,100-26,Rust orange tie
1149,100-27,Mustard yellow tie
1151,100-29,Olive green tie
1152,100-31,Cerise pink tie
1153,100-33,Teal tie
1155,100-38,Light yellow tie
1156,100-39,Extra light pink tie
1157,100-40,Red tie
1158,100-41,Green tie
1159,100-44,Bronze tie
1160,100-45,Silver tie
1162,100-50,Grey tie
1163,100-51,Midnight navy tie
1164,100-52,Rose purple tie
1165,100-53,Old pink tie
1166,100-55,Off white tie
1167,100-56,Salmon pink tie
1168,100-XL-01,White tie XL
1179,1100-20-31,Boys burgundy dotted tie
1190,1200-01,Extra skinny white tie
1191,1200-04,Extra skinny burgundy tie
1192,1200-09,Extra skinny navy tie
1193,1200-15,Extra skinny black tie
1194,1200-39,Extra skinny extra light pink tie
1201,200-01,Skinny white tie
1202,200-02,Skinny orange tie
1203,200-03,Skinny light red tie
1204,200-04,Skinny burgundy tie
1205,200-05,Skinny dark purple tie
1206,200-06,Skinny purple tie
1207,200-07,Skinny light purple tie
