Display Name,Display name - sv,Display name - no,Display name - da,Display name - fi,Display name - de
Dark purple tie,Mörklila slips,Mørklilla slips,Mørklilla slips,Tumman violetti solmio,Dunkellila Krawatte
Navy tie,Mörkblå slips,Mørkeblått slips,Mørkeblåt slips,Tummansininen solmio,Dunkelblaue Krawatte
Boys dark yellow tie,Mörkgul barnslips,Mørkegult barneslips,Mørkegult børneslips,Tummankeltainen lasten solmio,Dunkelgelbe Kinderkrawatte
Boys light purple tie Satin,Ljuslila barnslips Satin,Lyslilla barneslips Satin,Lyselilla børneslips Satin,Vaaleanvioletti lasten solmio Satin,Helllila Kinderkrawatte Satin
Blue tie & hanky,Blå slips & näsduk,Blått slips & lommetørkle,Blåt slips & lommeklud,Sininen solmio & taskuliina,Blaue Krawatte & Einstecktuch
White tie XL,Vit slips XL,Hvitt slips XL,Hvidt slips XL,Valkoinen solmio XL,Weiße Krawatte XL
Self-tie extra light pink bow tie,Oknuten extra ljusrosa fluga,Selvbinder ekstra lys rosa sløyfe,Selvbinder ekstra lys pink butterfly,Solmittava erittäin vaaleanpunainen rusetti,Selbstbinder extra hellrosa Fliege
Dark purple silk cravat,Mörklila kravatt i siden,Mørkelilla kravatt i silke,Mørkelilla kravat i silke,Tumma violetti solmiohuivi silkki,Dunkelviolette Krawattenschal aus Seide
Extra skinny white tie,Extra smal vit slips,Ekstra smalt hvitt slips,Ekstra smalt hvidt slips,Erittäin kapea valkoinen solmio,Extra schmale weiße Krawatte
Skinny light blue tie,Smal ljusblå slips,Smal lyseblått slips,Smalt lyseblåt slips,Kapea vaaleansininen solmio,Schmale Hellblaue Krawatte
Skinny red paisley tie,Smal röd paisley slips,Smal rødt paisley slips,Smalt rødt paisley slips,Kapea punainen paisley solmio,Schmale Rote Paisley Krawatte
Purple dotted tie,Lila prickig slips,Lilla prikket slips,Lilla prikket slips,Violetti pilkullinen solmio,Lila gepunktete Krawatte
Green Christmas tie Rudolf,Grön julslips Rudolf,Grønt juleslips Rudolf,Grønt juleslips Rudolf,Vihreä joulu solmio Rudolf,Grüne Weihnachtskrawatte Rudolf
Navy & silver striped tie,Mörkblå & silver randig slips,Mørkeblått & sølv stripet slips,Mørkeblåt & sølv stribet slips,Tummansininen & hopea raidallinen solmio,Dunkelblaue & silberne gestreifte Krawatte
Purple dotted tie Lago,Lila prickig slips Lago,Lilla prikket slips Lago,Lilla prikket slips Lago,Violetti pilkullinen solmio Lago,Lila gepunktete Krawatte Lago
Green tie Herringbone,Grön slips Herringbone,Grønt slips Herringbone,Grønt slips Herringbone,Vihreä solmio Herringbone,Grüne Krawatte Herringbone
Navy tie Sailboats,Mörkblå slips Segelbåtar,Mørkeblått slips Seilbåter,Mørkeblåt slips Sejlbåde,Tummansininen solmio Sailboats,Dunkelblaue Krawatte Segelboote
Orange tie Basic,Orange slips Basic,Oransje slips Basic,Orange slips Basic,Oranssi solmio Basic,Orange Krawatte Basic
Skinny navy tie damask,Smal mörkblå slips damask,Smal mørkeblått slips damask,Smalt mørkeblåt slips damask,Kapea tummansininen solmio damask,Schmale Dunkelblaue Krawatte Damask
Boys burgundy dotted tie,Vinröd prickig barnslips,Burgunder prikkete barneslips,Bordeaux prikket børneslips,Viininpunainen pilkullinen lasten solmio Classic,Weinrote gepunktete Kinderkrawatte
