Product ID,SKU,Display Name
1256,2500-05,Blue handkerchief
1257,2500-12,Grey handkerchief
1259,2500-19,Grey handkerchief
1260,2500-20,Burgundy striped handkerchief
1459,3500-32,Navy dotted handkerchief
1460,3500-33,Black dotted handkerchief
1461,3500-37,Brown striped handkerchief
1465,3500-72,Burgundy dotted handkerchief
1466,3500-78,Navy dotted handkerchief
1467,3500-82,Dark grey striped handkerchief
1527,500-01,White handkerchief
1528,500-02,Orange handkerchief
1529,500-04,Burgundy handkerchief
1530,500-05,Dark purple handkerchief
1531,500-06,Purple handkerchief
3948,500-07,Light purple handkerchief
3949,500-08,Turquoise handkerchief
3950,500-09,Navy handkerchief
3951,500-10,Blue handkerchief
3952,500-11,Light blue handkerchief
3953,500-13,Dark yellow handkerchief
3954,500-14,Creme gold handkerchief
3955,500-15,Black handkerchief
3956,500-16,Lime green handkerchief
3957,500-17,Dark green handkerchief
3958,500-18,Dark silver handkerchief
3959,500-19,Dark brown handkerchief
3960,500-21,Light pink handkerchief
3961,500-22,Brown handkerchief
3963,500-24,Apricot handkerchief
3964,500-26,Rust orange handkerchief
3965,500-27,Mustard yellow handkerchief
3966,500-28,Mint blue handkerchief
3967,500-29,Olive green handkerchief
3968,500-31,Cerise pink handkerchief
3969,500-33,Teal handkerchief
3970,500-35,Dark burgundy handkerchief
3971,500-37,Light coral handkerchief
3972,500-38,Light yellow handkerchief
3973,500-39,Extra light pink handkerchief
3974,500-40,Red handkerchief
3975,500-41,Green handkerchief
3976,500-43,Gold handkerchief
3977,500-44,Bronze handkerchief
3978,500-45,Silver handkerchief
3979,500-49,Mint yellow handkerchief
3980,500-50,Grey handkerchief
3981,500-51,Midnight navy handkerchief
3982,500-52,Rose purple handkerchief
3983,500-53,Old pink handkerchief
3984,500-55,Off white handkerchief
3985,500-56,Salmon pink handkerchief
3986,500-58,Dark grey handkerchief
4203,BS-500-02,Green dotted handkerchief
4205,BS-500-04,Black dotted handkerchief
4206,BS-500-05,Navy dotted handkerchief
4207,BS-500-08,Purple dotted handkerchief
4208,BS-500-09,Burgundy dotted handkerchief
4218,BSB-500-02,Denim blue dotted handkerchief
4219,BSB-500-03,Grey dotted handkerchief
4259,C500-1,Light pink handkerchief
4260,C500-11,Navy handkerchief
4262,C500-19,Blue & white striped handkerchief
4264,C500-21,Green & white striped handkerchief
4265,C500-22,Red & white striped handkerchief
4266,C500-4,Navy & white striped handkerchief
4267,C500-5,Brown & white striped handkerchief
4268,C500-6,Denim blue handkerchief
4269,C500-8,Blue handkerchief
4270,C550-16,Light purple handkerchief
4271,C550-17,Turquoise green handkerchief
4272,C550-18,Mint green handkerchief
4297,CHR-500-01,Navy Christmas handkerchief Santa
4298,CHR-500-02,Green Christmas handkerchief Santa
4299,CHR-500-03,Burgundy Christmas handkerchief Santa
4300,CHR-500-11,Blue Christmas handkerchief Tree
4301,CHR-500-12,Blue Christmas handkerchief Merry
4302,CHR-500-13,Navy Christmas handkerchief Penguin
4303,CHR-500-14,Burgundy Christmas handkerchief Penguin
4304,CHR-500-15,Navy Christmas handkerchief Tree
4305,CHR-500-16,Hanky Christmas Tree & Santa
4305,CHR-500-16,Hanky Christmas Tree and Santa Tie Burgundy
4395,DT-500-01,Dark brown dotted handkerchief
4396,DT-500-02,Teal dotted handkerchief
4397,DT-500-03,Dark purple dotted handkerchief
4399,DT-500-06,Blue dotted handkerchief Herringbone
4421,FL-500-01,Brown floral handkerchief
4423,FL-500-03,Red floral handkerchief
4424,FL-500-04,Turquoise floral handkerchief
4481,FLR-500-03,Navy & red floral handkerchief
4482,FLR-500-05,Blue & orange floral handkerchief
4483,FLR-500-09,Blue floral handkerchief
4505,FTG500-1,Navy & silver striped handkerchief
4506,FTG500-10,Green & black striped handkerchief
4507,FTG500-11,Burgundy & navy striped handkerchief
4508,FTG500-12,Blue & yellow striped handkerchief
4509,FTG500-13,Black & pink striped handkerchief
4510,FTG500-2,Red & white striped handkerchief
4511,FTG500-3,Blue & silver striped handkerchief
4512,FTG500-4,Orange & white striped handkerchief
4513,FTG500-5,Blue & white striped handkerchief
4514,FTG500-9,Green & yellow striped handkerchief
4519,GD-500-01,Black handkerchief Grenadine
4520,Hanky-R040-2,Navy handkerchief Flags
4525,HB-500-01,Dark grey handkerchief Herringbone
4644,ITS500-04,Navy floral handkerchief Spezia
4645,ITS500-06,Dark brown floral handkerchief Spezia
4646,ITS500-07,Brown dotted handkerchief Lago
4647,ITS500-08,Navy paisley handkerchief Rocca
7077,ITS500-09,Navy striped handkerchief Taormina
4648,ITS500-100,Grey paisley handkerchief
4649,ITS500-101,Navy & pink paisley handkerchief
4650,ITS500-102,Blue & pink handkerchief
4651,ITS500-103,White handkerchief Hand-rolled
4652,ITS500-104,White handkerchief Oriental
4653,ITS500-106,Navy dotted handkerchief Levante
4654,ITS500-108,Green dotted handkerchief Levante
4655,ITS500-109,White handkerchief Navy Border
4656,ITS500-11,Brown paisley handkerchief Rocca
4657,ITS500-110,White handkerchief orange Border
4658,ITS500-111,White handkerchief dark green border
4659,ITS500-112,Handkerchief Camo
4660,ITS500-114,Beige & white paisley handkerchief San Vito
4661,ITS500-115,Blue & white paisley handkerchief San Vito
4662,ITS500-117,White handkerchief for Tailcoat
4663,ITS500-118,Black handkerchief Premium
4664,ITS500-119,White handkerchief Premium
4665,ITS500-12,Navy paisley handkerchief Rocca
4666,ITS500-14,Beige paisley handkerchief Rocca
4667,ITS500-17,Navy paisley handkerchief Toscana
4668,ITS500-18,Dark green paisley handkerchief Toscana
4669,ITS500-19,Burgundy paisley handkerchief Toscana
4670,ITS500-21,Light grey paisley handkerchief Bianco
4671,ITS500-23,Navy paisley handkerchief Verezzi
4672,ITS500-24,Blue paisley handkerchief Verezzi
4673,ITS500-25,Red paisley handkerchief Verezzi
4674,ITS500-26,Orange paisley handkerchief Verezzi
4675,ITS500-27,Light green paisley handkerchief Verezzi
4676,ITS500-29,Blue paisley handkerchief Cenis
4677,ITS500-30,Navy handkerchief Hummingbirds
4679,ITS500-33,Dark green paisley handkerchief Veneto
4680,ITS500-34,Moss green handkerchief
4681,ITS500-35,Dark brown handkerchief Herringbone
4682,ITS500-36,Dark green handkerchief Herringbone
4683,ITS500-37,Navy handkerchief Herringbone
4685,ITS500-39,Burgundy handkerchief Herringbone
4686,ITS500-40,Brown handkerchief Herringbone
4687,ITS500-43,Dark green Christmas handkerchief
4688,ITS500-45,Black Christmas handkerchief
4689,ITS500-47,Dark brown handkerchief
4690,ITS500-49,Navy paisley handkerchief
4691,ITS500-50,Burgundy paisley handkerchief
4692,ITS500-55,Beige floral handkerchief Summer Flowers
4693,ITS500-56,Orange floral handkerchief Summer Flowers
4694,ITS500-57,Light blue floral handkerchief Summer Flowers
4695,ITS500-58,Dark green floral handkerchief Summer Flowers
4696,ITS500-59,Navy floral handkerchief Summer Flowers
4697,ITS500-60,Beige handkerchief Medallion
