Product ID,SKU,Description
1171,1000-02,"Orange skinny self-tie bow tie made of 100% silk. The bow tie is woven and made with careful attention to details to maintain the highest quality. The bow tie has a well-thought-out construction and fits all neck measurements with an adjustable strap. The bow tie is 4,3 cm wide. Swedish design. Delivered in an elegant velvet pouch."
1172,1000-03,"Light red skinny self-tie bow tie made of 100% silk. The bow tie is woven and made with careful attention to details to maintain the highest quality. The bow tie has a well-thought-out construction and fits all neck measurements with an adjustable strap. The bow tie is 4,3 cm wide. Swedish design. Delivered in an elegant velvet pouch."
1173,1000-09,"Navy skinny self-tie bow tie made of 100% silk. The bow tie is woven and made with careful attention to details to maintain the highest quality. The bow tie has a well-thought-out construction and fits all neck measurements with an adjustable strap. The bow tie is 4,3 cm wide. Swedish design. Delivered in an elegant velvet pouch."
1174,1000-15,"Black skinny self-tie bow tie made of 100% silk. The bow tie is woven and made with careful attention to details to maintain the highest quality. The bow tie has a well-thought-out construction and fits all neck measurements with an adjustable strap. The bow tie is 4,3 cm wide. Swedish design. Delivered in an elegant velvet pouch."
1175,1000-21-1,"Light pink skinny self-tie bow tie made of 100% silk. The bow tie is woven and made with careful attention to details to maintain the highest quality. The bow tie has a well-thought-out construction and fits all neck measurements with an adjustable strap. The bow tie is 4,3 cm wide. Swedish design. Delivered in an elegant velvet pouch."
1293,300-10,"Blue hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch."
1294,300-10-01,Bow tie suitable for children aged 2-12 years. Made by hand in 100% silk. Pre-tied with an adjustable strap that is quick and easy to fasten around the neck. Delivered in a velvet pouch.
1295,300-10-02,"Orange kid’s bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1296,300-10-03,"Light red kid’s bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1297,300-10-04,"Burgundy kid’s bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a dark red children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1298,300-10-05,"Dark purple kid’s bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1299,300-10-06,"Purple kid’s bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1300,300-10-07,"Light purple kid’s bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1301,300-10-08,"Turquoise kid’s bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1302,300-10-09,"Dark blue kid’s bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1303,300-10-10,"Blue kid’s bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1304,300-10-11,"Light blue kid’s bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1305,300-10-14,"Creme gold kid’s bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1306,300-10-15,"Black kid’s bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1307,300-10-16,"Lime green kid’s bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
1308,300-10-17,"Dark green kid’s bow tie sewn by hand in 100% silk. The boy’s bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all children between 2-12 years. Since we work without intermediaries, we can offer a children’s bow tie of the highest quality at a reasonable price. Dimensions: 10 x 4 cm. Swedish design. Delivered in an elegant velvet pouch."
