Display Name,Display name - sv,Display name - no,Display name - da,Display name - fi,Display name - de,Display name - pl
Cufflinks Vienna,Manschettknappar Wien,Mansjettknapper Wien,Manchetknapper Wien,Kalvosinnapit Wien,Manschettenknöpfe Wien,Spinki do mankietów Wiedeń
Cufflinks gold Geneva,Manschettknappar guld Genève,Mansjettknapper gull Genève,Manchetknapper guld Genève,Kalvosinnapit kulta Genève,Manschettenknöpfe Gold Genf,Spinki do mankietów złoto Genewa
Cufflinks silver Geneva,Manschettknappar silver Genève,Mansjettknapper sølv Genève,Manchetknapper sølv Genève,Kalvosinnapit hopea Genève,Manschettenknöpfe Silber Genf,Spinki do mankietów srebro Genewa
Cufflinks Ice Cream Cone,Manschettknappar Glassstrut,Mansjettknapper Iskremkjeks,Manchetknapper Isvaffel,Kalvosinnapit Jäätelötötterö,Manschettenknöpfe Eiswaffel,Spinki do mankietów Rożek lodowy
Cufflinks for shirt buttons gold,Manschettknappar för skjortknappar guld,Mansjettknapper for skjorteknapper gull,Manchetknapper til skjorteknapper guld,Kalvosinnapit paitapainikkeille kulta,Manschettenknöpfe für Hemdknöpfe Gold,Spinki do mankietów do guzików koszuli złoto
Cufflinks for shirt buttons silver,Manschettknappar för skjortknappar silver,Mansjettknapper for skjorteknapper sølv,Manchetknapper til skjorteknapper sølv,Kalvosinnapit paitapainikkeille hopea,Manschettenknöpfe für Hemdknöpfe Silber,Spinki do mankietów do guzików koszuli srebro
Burgundy cufflinks Silk Knots,Vinröda manschettknappar sidenknopar,Burgunder mansjettknapper silkeknuter,Bordeaux manchetknapper silkeknuder,Viininpunainen kalvosinnapit silkkisolmut,Burgunder Manschettenknöpfe Seidenknoten,Bordowe spinki do mankietów jedwabne węzły
Cufflinks Elite,Manschettknappar Elite,Mansjettknapper Elite,Manchetknapper Elite,Kalvosinnapit Elite,Manschettenknöpfe Elite,Spinki do mankietów Elite
Cufflinks Construction helmet,Manschettknappar Bygghjälm,Mansjettknapper Byggehjelm,Manchetknapper Bygge hjelm,Kalvosinnapit Rakennuskypärä,Manschettenknöpfe Bauhelm,Spinki do mankietów Kask budowlany
Cufflinks Spain,Manschettknappar Spanien,Mansjettknapper Spania,Manchetknapper Spanien,Kalvosinnapit Espanja,Manschettenknöpfe Spanien,Spinki do mankietów Hiszpania
Cufflinks & tie clip,Manschettknappar & slipsnål,Mansjettknapper & slipsnål,Manchetknapper & slipsenål,Kalvosinnapit & solmioneula,Manschettenknöpfe & Krawattennadel,Spinki do mankietów & spinka do krawata
Cufflinks Insert your photo,Manschettknappar för eget foto,Mansjettknapper til ditt eget bilde,Manchetknapper til dit eget foto,Kalvosinnapit omaa kuvaa varten,Manschettenknöpfe mit eigenem Foto,Spinki do mankietów z własnym zdjęciem
Cufflinks Squid silver,Manschettknappar Bläckfisk silver,Mansjettknapper Blekksprut sølv,Manchetknapper Blæksprutte sølv,Kalvosinnapit Kalmari hopea,Manschettenknöpfe Tintenfisch Silber,Spinki do mankietów Kałamarnica srebro
Cufflinks Anchor gold,Manschettknappar Ankare guld,Mansjettknapper Anker gull,Manchetknapper Anker guld,Kalvosinnapit Ankkuri kulta,Manschettenknöpfe Anker Gold,Spinki do mankietów Kotwica złoto
Cufflinks Enamel Classic,Manschettknappar Emalj Classic,Mansjettknapper Emalje Classic,Manchetknapper Emalje Classic,Kalvosinnapit Emali Classic,Manschettenknöpfe Emaille Classic,Spinki do mankietów Emalia Classic
Light yellow cufflinks Silk Knots,Ljusgula manschettknappar sidenknopar,Lysegule mansjettknapper silkeknuter,Lysegule manchetknapper silkeknuder,Vaaleankeltainen kalvosinnapit silkkisolmut,Hellgelbe Manschettenknöpfe Seidenknoten,Jasnożółte spinki do mankietów jedwabne węzły
Purple cufflinks Silk Knots,Lila manschettknappar sidenknopar,Lilla mansjettknapper silkeknuter,Lilla manchetknapper silkeknuder,Violetti kalvosinnapit silkkisolmut,Lila Manschettenknöpfe Seidenknoten,Fioletowe spinki do mankietów jedwabne węzły
