Display Name,Display name - sv,Display name - no,Display name - da,Display name - fi,Display name - de,Display name - pl
Cufflinks Vienna,Manschettknappar Vienna,Mansjettknapper Vienna,Manchetknapper Vienna,Kalvosinnapit Vienna,Manschettenknöpfe Vienna,Spinki do mankietów Vienna
Cufflinks Deluxe,Manschettknappar Deluxe,Mansjettknapper Deluxe,Manchetknapper Deluxe,Kalvosinnapit Deluxe,Manschettenknöpfe Deluxe,Spinki do mankietów Deluxe
Cufflinks champagne,Manschettknappar champagne,Mansjettknapper champagne,Manchetknapper champagne,Kalvosinnapit samppanja,Manschettenknöpfe Champagner,Spinki do mankietów szampan
Cufflinks pheasant,Manschettknappar fasan,Mansjettknapper fasan,Manchetknapper fasan,Kalvosinnapit fasaani,Manschettenknöpfe Fasan,Spinki do mankietów bażant
Cufflinks Bird,Manschettknappar fågel,Mansjettknapper fugl,Manchetknapper fugl,Kalvosinnapit lintu,Manschettenknöpfe Vogel,Spinki do mankietów ptak
Cufflinks Dinosaur,Manschettknappar dinosaurie,Mansjettknapper dinosaur,Manchetknapper dinosaur,Kalvosinnapit dinosaurus,Manschettenknöpfe Dinosaurier,Spinki do mankietów dinozaur
Cufflinks Dakota,Manschettknappar Dakota,Mansjettknapper Dakota,Manchetknapper Dakota,Kalvosinnapit Dakota,Manschettenknöpfe Dakota,Spinki do mankietów Dakota
Cufflinks Trout,Manschettknappar öring,Mansjettknapper ørret,Manchetknapper ørred,Kalvosinnapit taimen,Manschettenknöpfe Forelle,Spinki do mankietów pstrąg
Cufflinks Prestige,Manschettknappar Prestige,Mansjettknapper Prestige,Manchetknapper Prestige,Kalvosinnapit Prestige,Manschettenknöpfe Prestige,Spinki do mankietów Prestige
Cufflinks Windsor,Manschettknappar Windsor,Mansjettknapper Windsor,Manchetknapper Windsor,Kalvosinnapit Windsor,Manschettenknöpfe Windsor,Spinki do mankietów Windsor
Cufflinks Pyramid,Manschettknappar pyramid,Mansjettknapper pyramide,Manchetknapper pyramide,Kalvosinnapit pyramidi,Manschettenknöpfe Pyramide,Spinki do mankietów piramida
