Display Name,Display name - pl
Self-tie black bow tie & hanky,Muszka do samodzielnego wiązania czarna i poszetka
Dark yellow bow tie & hanky,Ciemnożółta muszka i poszetka
Dark brown bow tie & hanky,Ciemnobrązowa muszka i poszetka
Extra light pink bow tie & hanky,Bardzo jasnoróżowa muszka i poszetka
Off white bow tie & hanky,Złamana biała muszka i poszetka
Self-tie turquoise bow tie & hanky,Muszka do samodzielnego wiązania turkusowa i poszetka
Self-tie dark green bow tie & hanky,Muszka do samodzielnego wiązania ciemnozielona i poszetka
Self-tie brown bow tie & hanky,Muszka do samodzielnego wiązania brązowa i poszetka
Self-tie mustard yellow bow tie & hanky,Muszka do samodzielnego wiązania musztardowa żółta i poszetka
Self-tie light coral bow tie & hanky,Muszka do samodzielnego wiązania jasnokoralowa i poszetka
Black bow tie & hanky,Czarna muszka i poszetka
Self-tie black bow tie & white hanky,Muszka do samodzielnego wiązania czarna i biała poszetka
Bow tie & hanky Floral Sky,Muszka i poszetka Floral Sky
Self-tie bow tie & hanky Lustrous Silk,Muszka do samodzielnego wiązania i poszetka Lustrous Silk
Bow tie & hanky Ocean Bloom,Muszka i poszetka Ocean Bloom
