Display Name,Display name - pl
Light red silk cravat,Jasnoczerwony jedwabny fular
Burgundy silk cravat,Bordowy jedwabny fular
Dark purple silk cravat,Ciemnofioletowy jedwabny fular
Light purple silk cravat,Jasnofioletowy jedwabny fular
Light pink silk cravat,Jasnoróżowy jedwabny fular
Mint green silk cravat,Miętowy jedwabny fular
Extra light pink silk cravat,Bardzo jasnoróżowy jedwabny fular
Bexton champagne cravat for kids,Dziecięcy fular Bexton szampański
Bexton silver cravat for kids,Dziecięcy fular Bexton srebrny
Damask silver cravat for kids,Dziecięcy fular Damask srebrny
Damask black cravat for kids,Dziecięcy fular Damask czarny
