Product ID,SKU,Display Name
1180,11000-03,Light red silk cravat
1181,11000-04,Burgundy silk cravat
1182,11000-05,Dark purple silk cravat
1183,11000-07,Light purple silk cravat
1185,11000-21,Light pink silk cravat
1186,11000-23,Mint green silk cravat
1187,11000-39,Extra light pink silk cravat
1189,11000-57,Pink silk cravat
5902,PSLY-1100-214,Creme gold paisley silk cravat
5903,PSLY-1100-239,Extra light pink paisley silk cravat
6443,VE11000-01,Bexton Cravat White
6444,VE11000-02,Bexton Cravat Champagne
6445,VE11000-03,Bexton Cravat Silver
6446,VE11000-04,Damask Cravat Silver
6447,VE11000-05,Damask Cravat Black
6448,VE11000-06,Damask Cravat Champagne
6449,VE11000-07,Damask Cravat Off White
6450,VE11000-08,Damask Cravat White
6451,VE11000-09,Niels Cravat White
6452,VE11000-10,Niels Cravat Silver
6453,VE11000-11,Niels Cravat Champagne
6454,VE11000-12,Oscar Cravat White
6455,VE11000-13-,Oscar Cravat Silver
6456,VE11000-14,Oscar Cravat Off White
6457,VE11000-15,Damask Cravat Navy
6458,VE11000-15-1,Oscar Cravat Navy
6459,VE11000-16,Damask Cravat Burgundy
6460,VE11000-17,Damask Cravat Gold
6461,VE11000-18,Black cravat
6462,VE12000-01,Bexton white cravat for kids
6463,VE12000-02,Bexton champagne cravat for kids
6464,VE12000-03,Bexton silver cravat for kids
6465,VE12000-04,Damask silver cravat for kids
6466,VE12000-05,Damask black cravat for kids
6467,VE12000-06,Damask champagne cravat for kids
6468,VE12000-07,Damask off white cravat for kids
6469,VE12000-08,Damask white cravat for kids
6470,VE12000-09,Niels off white cravat for kids
6471,VE12000-10,Niels silver cravat for kids
6472,VE12000-11,Niels champagne cravat for kids
6473,VE12000-12,Oscar white cravat for kids
6474,VE12000-13,Oscar silver cravat for kids
6475,VE12000-14,Oscar champagne cravat for kids
6476,VE12000-15,Oscar blue cravat for kids
6477,VE12000-16,Damask burgundy cravat for kids
6478,VE12000-17,Damask cravat for kids gold
6479,VE12000-18,Kids Cravat 2-12 Years | Black
