Display Name,Display name - sv,Display name - no,Display name - da,Display name - fi,Display name - de,Display name - pl
Cufflinks Vienna,Manschettknappar Vienna,Mansjettknapper Vienna,Manchetknapper Vienna,Kalvosinnapit Vienna,Manschettenknöpfe Vienna,Spinki do mankietów Vienna
Cufflinks gold Geneva,Manschettknappar guld Geneva,Mansjettknapper gull Geneva,Manchetknapper guld Geneva,Kalvosinnapit kulta Geneva,Manschettenknöpfe Gold Geneva,Spinki do mankietów złoto Geneva
Cufflinks silver Geneva,Manschettknappar silver Geneva,Mansjettknapper sølv Geneva,Manchetknapper sølv Geneva,Kalvosinnapit hopea Geneva,Manschettenknöpfe Silber Geneva,Spinki do mankietów srebro Geneva
Cufflinks Ice Cream Cone,Manschettknappar Ice Cream Cone,Mansjettknapper Ice Cream Cone,Manchetknapper Ice Cream Cone,Kalvosinnapit Ice Cream Cone,Manschettenknöpfe Ice Cream Cone,Spinki do mankietów Ice Cream Cone
Cufflinks for shirt buttons gold,Manschettknappar för skjortknappar guld,Mansjettknapper for skjorteknapper gull,Manchetknapper til skjorteknapper guld,Kalvosinnapit paitapainikkeille kulta,Manschettenknöpfe für Hemdknöpfe Gold,Spinki do mankietów do guzików koszul złoto
Cufflinks for shirt buttons silver,Manschettknappar för skjortknappar silver,Mansjettknapper for skjorteknapper sølv,Manchetknapper til skjorte knapper sølv,Kalvosinnapit paitapainikkeille hopea,Manschettenknöpfe für Hemdknöpfe Silber,Spinki do mankietów do guzików koszul srebro
Burgundy cufflinks Silk Knots,Vinröda manschettknappar Silk Knots,Burgunder mansjettknapper Silk Knots,Bordeaux manchetknapper Silk Knots,Burgundin kalvosinnapit Silk Knots,Dunkelrote Manschettenknöpfe Silk Knots,Bordowe spinki do mankietów Silk Knots
Cufflinks Elite,Manschettknappar Elite,Mansjettknapper Elite,Manchetknapper Elite,Kalvosinnapit Elite,Manschettenknöpfe Elite,Spinki do mankietów Elite
Cufflinks Construction helmet,Manschettknappar Construction helmet,Mansjettknapper Construction helmet,Manchetknapper Construction helmet,Kalvosinnapit Construction helmet,Manschettenknöpfe Construction helmet,Spinki do mankietów Construction helmet
Cufflinks Spain,Manschettknappar Spain,Mansjettknapper Spain,Manchetknapper Spain,Kalvosinnapit Spain,Manschettenknöpfe Spain,Spinki do mankietów Spain
Cufflinks & tie clip,Manschettknappar & slipsnål,Mansjettknapper & slipsnål,Manchetknapper & slipsenål,Kalvosinnapit & solmioneula,Manschettenknöpfe & Krawattenklammer,Spinki do mankietów & spinka do krawata
Cufflinks Insert your photo,Manschettknappar sätt in ditt foto,Mansjettknapper sett inn ditt bilde,Manchetknapper indsæt dit foto,Kalvosinnapit lisää valokuvasi,Manschettenknöpfe Ihr Foto einfügen,Spinki do mankietów wstaw swoje zdjęcie
Cufflinks Squid silver,Manschettknappar Squid silver,Mansjettknapper Squid sølv,Manchetknapper Squid sølv,Kalvosinnapit Squid hopea,Manschettenknöpfe Squid Silber,Spinki do mankietów Squid srebro
Cufflinks Anchor gold,Manschettknappar Anchor guld,Mansjettknapper Anchor gull,Manchetknapper Anchor guld,Kalvosinnapit Anchor kulta,Manschettenknöpfe Anchor Gold,Spinki do mankietów Anchor złoto
Cufflinks Enamel Classic,Manschettknappar Enamel Classic,Mansjettknapper Enamel Classic,Manchetknapper Enamel Classic,Kalvosinnapit Enamel Classic,Manschettenknöpfe Enamel Classic,Spinki do mankietów Enamel Classic
