Product ID,SKU,Description,Description - sv,Description - no
1285,300-01,"White hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Vit handsydd fluga i 100% siden. Flugan är knuten och lätt att fästa runt halsen med ett justerbart band som passar alla halsmått upp till 52 cm i omkrets. Eftersom vi arbetar utan mellanhänder kan vi erbjuda en fluga av högsta kvalitet till ett rimligt pris. Storleken på flugan är 12,5 x 6 cm. Svensk design. Levereras i en elegant sammetspåse.","Hvit håndsydd sløyfe laget av 100 % silke. Sløyfen er ferdigbundet og enkel å feste rundt halsen med et justerbart bånd som passer alle halsmål opp til 52 cm i omkrets. Siden vi jobber uten mellomledd, kan vi tilby en sløyfe av høyeste kvalitet til en rimelig pris. Størrelsen på sløyfen er 12,5 x 6 cm. Svensk design. Leveres i en elegant fløyelspose."
1286,300-02,"Orange hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Orange handsydd fluga i 100% siden. Flugan är knuten och lätt att fästa runt halsen med ett justerbart band som passar alla halsmått upp till 52 cm i omkrets. Eftersom vi arbetar utan mellanhänder kan vi erbjuda en fluga av högsta kvalitet till ett rimligt pris. Storleken på flugan är 12,5 x 6 cm. Svensk design. Levereras i en elegant sammetspåse.","Oransje håndsydd sløyfe laget av 100 % silke. Sløyfen er ferdigbundet og enkel å feste rundt halsen med et justerbart bånd som passer alle halsmål opp til 52 cm i omkrets. Siden vi jobber uten mellomledd, kan vi tilby en sløyfe av høyeste kvalitet til en rimelig pris. Størrelsen på sløyfen er 12,5 x 6 cm. Svensk design. Leveres i en elegant fløyelspose."
1287,300-04,"Burgundy hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a dark red bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Vinröd handsydd fluga i 100% siden. Flugan är knuten och lätt att fästa runt halsen med ett justerbart band som passar alla halsmått upp till 52 cm i omkrets. Eftersom vi arbetar utan mellanhänder kan vi erbjuda en mörkröd fluga av högsta kvalitet till ett rimligt pris. Storleken på flugan är 12,5 x 6 cm. Svensk design. Levereras i en elegant sammetspåse.","Burgunderfarget håndsydd sløyfe laget av 100 % silke. Sløyfen er ferdigbundet og enkel å feste rundt halsen med et justerbart bånd som passer alle halsmål opp til 52 cm i omkrets. Siden vi jobber uten mellomledd, kan vi tilby en mørkerød sløyfe av høyeste kvalitet til en rimelig pris. Størrelsen på sløyfen er 12,5 x 6 cm. Svensk design. Leveres i en elegant fløyelspose."
1288,300-05,"Dark purple hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Mörklila handsydd fluga i 100% siden. Flugan är knuten och enkel att fästa runt halsen med ett justerbart band som passar alla halsmått upp till 52 cm i omkrets. Eftersom vi arbetar utan mellanhänder kan vi erbjuda en fluga av högsta kvalitet till ett rimligt pris. Storleken på flugan är 12,5 x 6 cm. Svensk design. Levereras i en elegant sammetspåse.","Mørk lilla håndsydd sløyfe laget av 100 % silke. Sløyfen er ferdigbundet og enkel å feste rundt halsen med et justerbart bånd som passer alle halsmål opptil 52 cm i omkrets. Siden vi jobber uten mellomledd, kan vi tilby en sløyfe av høyeste kvalitet til en rimelig pris. Størrelsen på sløyfen er 12,5 x 6 cm. Svensk design. Leveres i en elegant fløyelspose."
1289,300-06,"Purple hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Lila handsydd fluga i 100% siden. Flugan är knuten och lätt att fästa runt halsen med ett justerbart band som passar alla halsmått upp till 52 cm i omkrets. Eftersom vi arbetar utan mellanhänder kan vi erbjuda en fluga av högsta kvalitet till ett rimligt pris. Storleken på flugan är 12,5 x 6 cm. Svensk design. Levereras i en elegant sammetspåse.","Lilla håndsydd sløyfe laget av 100 % silke. Sløyfen er ferdigbundet og enkel å feste rundt halsen med et justerbart bånd som passer alle halsmål opptil 52 cm i omkrets. Siden vi jobber uten mellomledd, kan vi tilby en sløyfe av høyeste kvalitet til en rimelig pris. Størrelsen på sløyfen er 12,5 x 6 cm. Svensk design. Leveres i en elegant fløyelspose."
1290,300-07,"Light purple hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Ljuslila handsydd fluga i 100% siden. Flugan är knuten och lätt att fästa runt halsen med ett justerbart band som passar alla halsmått upp till 52 cm i omkrets. Eftersom vi arbetar utan mellanhänder kan vi erbjuda en fluga av högsta kvalitet till ett rimligt pris. Storleken på flugan är 12,5 x 6 cm. Svensk design. Levereras i en elegant sammetspåse.","Lys lilla håndsydd sløyfe laget av 100 % silke. Sløyfen er ferdigbundet og enkel å feste rundt halsen med et justerbart bånd som passer alle halsmål opptil 52 cm i omkrets. Siden vi jobber uten mellomledd, kan vi tilby en sløyfe av høyeste kvalitet til en rimelig pris. Størrelsen på sløyfen er 12,5 x 6 cm. Svensk design. Leveres i en elegant fløyelspose."
1291,300-08,"Turquoise hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Turkos handsydd fluga i 100% siden. Flugan är knuten och lätt att fästa runt halsen med ett justerbart band som passar alla halsmått upp till 52 cm i omkrets. Eftersom vi arbetar utan mellanhänder kan vi erbjuda en fluga av högsta kvalitet till ett rimligt pris. Storleken på flugan är 12,5 x 6 cm. Svensk design. Levereras i en elegant sammetspåse.","Turkis håndsydd sløyfe laget av 100 % silke. Sløyfen er ferdigbundet og enkel å feste rundt halsen med et justerbart bånd som passer alle halsmål opptil 52 cm i omkrets. Siden vi jobber uten mellomledd, kan vi tilby en sløyfe av høyeste kvalitet til en rimelig pris. Størrelsen på sløyfen er 12,5 x 6 cm. Svensk design. Leveres i en elegant fløyelspose."
1292,300-09,"Navy hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a dark blue silk bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Marinblå handsydd fluga i 100% siden. Flugan är knuten och lätt att fästa runt halsen med ett justerbart band som passar alla halsmått upp till 52 cm i omkrets. Eftersom vi arbetar utan mellanhänder kan vi erbjuda en mörkblå sidenfluga av högsta kvalitet till ett rimligt pris. Flugans storlek är 12,5 x 6 cm. Svensk design. Levereras i en elegant sammetspåse.","Marineblå håndsydd sløyfe laget av 100 % silke. Sløyfen er ferdigbundet og enkel å feste rundt halsen med et justerbart bånd som passer alle halsmål opptil 52 cm i omkrets. Siden vi jobber uten mellomledd, kan vi tilby en mørkeblå silkesløyfe av høyeste kvalitet til en rimelig pris. Størrelsen på sløyfen er 12,5 x 6 cm. Svensk design. Leveres i en elegant fløyelspose."
1293,300-10,"Blue hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Blå handsydd fluga i 100% siden. Flugan är knuten och lätt att fästa runt halsen med ett justerbart band som passar alla halsmått upp till 52 cm i omkrets. Eftersom vi arbetar utan mellanhänder kan vi erbjuda en fluga av högsta kvalitet till ett rimligt pris. Storleken på flugan är 12,5 x 6 cm. Svensk design. Levereras i en elegant sammetspåse.","Blå håndsydd sløyfe laget av 100 % silke. Sløyfen er ferdigbundet og enkel å feste rundt halsen med et justerbart bånd som passer alle halsmål opptil 52 cm i omkrets. Siden vi jobber uten mellomledd, kan vi tilby en sløyfe av høyeste kvalitet til en rimelig pris. Størrelsen på sløyfen er 12,5 x 6 cm. Svensk design. Leveres i en elegant fløyelspose."
1477,400-01,"White self-tie bow tie from Scottsberry, hand-sewn in the finest silk. With a focus on quality and functionality, this is an affordable bow tie that you tie yourself. It has an adjustable strap that fits all neck sizes up to a 50 cm circumference. The strap can be opened, making it easy to put on and take off the bow tie without having to untie it. Swedish design. Comes in an elegant velvet pouch.","Vit oknuten fluga från Scottsberry, handsydd i den finaste siden. Med fokus på kvalitet och funktionalitet är detta en prisvärd fluga som du knyter själv. Den har ett justerbart band som passar alla halsstorlekar upp till 50 cm i omkrets. Bandet kan öppnas, vilket gör det enkelt att sätta på och ta av flugan utan att behöva knyta upp den. Svensk design. Levereras i en elegant sammetspåse.","Hvit selvbinder sløyfe fra Scottsberry, håndsydd i den fineste silke. Med fokus på kvalitet og funksjonalitet er dette en rimelig sløyfe som du knytter selv. Den har et justerbart bånd som passer alle halsstørrelser opp til 50 cm i omkrets. Båndet kan åpnes, noe som gjør det enkelt å ta på og av sløyfen uten å måtte løsne den. Svensk design. Leveres i en elegant fløyelspose."
