Product ID,SKU,Display Name,Display name - fr
1033,100-01,White tie,Translation Error
1034,100-02,Orange tie,Translation Error
1035,100-04,Burgundy tie,Translation Error
1036,100-05,Dark purple tie,Translation Error
1037,100-06,Purple tie,Translation Error
1038,100-07,Light purple tie,Translation Error
1039,100-08,Turquoise tie,Translation Error
1040,100-09,Navy tie,Translation Error
1041,100-10,Blue tie,Translation Error
1042,100-10-01,Boys white tie,Translation Error
1044,100-10-02-Satin,Boys orange tie Satin,Translation Error
1045,100-10-04,Boys burgundy tie,Translation Error
1046,100-10-05,Boys dark purple tie,Translation Error
1047,100-10-06,Boys purple tie,Translation Error
1048,100-10-07,Boys light purple tie,Translation Error
1049,100-10-08,Boys turquoise tie,Translation Error
1050,100-10-09,Boys navy tie,Translation Error
1051,100-10-10,Boys blue tie,Translation Error
1053,100-10-13,Boys dark yellow tie,Translation Error
1054,100-10-14,Boys creme gold tie,Translation Error
1055,100-10-14-Satin,Boys creme gold tie Satin,Translation Error
1056,100-10-15,Boys black tie,Translation Error
1057,100-10-16,Boys lime green tie,Translation Error
1058,100-10-17,Boys dark green tie,Translation Error
1059,100-10-18,Boys dark silver tie,Translation Error
1060,100-10-19,Boys dark brown tie,Translation Error
1061,100-10-20,Boys dark pink tie,Translation Error
1062,100-10-21,Boys light pink tie,Translation Error
1063,100-10-22,Boys brown tie,Translation Error
1064,100-10-23,Boys mint green tie,Translation Error
1066,100-10-25,Boys dark coral tie,Translation Error
1067,100-10-25-Satin,Boys dark coral tie Satin,Translation Error
1068,100-10-26,Boys rust orange tie,Translation Error
1069,100-10-29,Boys olive green tie,Translation Error
1070,100-10-31,Boys cerise pink tie,Translation Error
1071,100-10-33,Boys teal tie,Translation Error
1072,100-10-35,Boys dark burgundy tie,Translation Error
1073,100-10-37,Boys light coral tie,Translation Error
1074,100-10-38,Boys light yellow tie,Translation Error
1075,100-10-39,Boys extra light pink tie,Translation Error
1076,100-10-40,Boys red tie,Translation Error
1077,100-10-41,Boys green tie,Translation Error
1079,100-10-44,Boys bronze tie,Translation Error
1080,100-10-45,Boys silver tie,Translation Error
1081,100-10-46,Boys yellow tie,Translation Error
1082,100-10-48,Boys coral tie,Translation Error
1084,100-10-51,Boys midnight navy tie,Translation Error
1085,100-10-52,Boys rose purple tie,Translation Error
1086,100-10-53,Boys old pink tie,Translation Error
1089,100-10-56,Boys salmon pink tie,Translation Error
1090,100-11,Light blue tie,Translation Error
1091,100-13,Dark yellow tie,Translation Error
1092,100-14,Creme gold tie,Translation Error
1093,100-15,Black tie,Translation Error
1094,100-16,Lime green tie,Translation Error
1095,100-17,Dark green tie,Translation Error
1096,100-18,Dark silver tie,Translation Error
1097,100-19,Dark brown tie,Translation Error
1098,100-20-01,Boys white tie,Translation Error
1099,100-20-02,Boys orange tie,Translation Error
1100,100-20-03,Boys light red tie,Translation Error
1102,100-20-05,Boys dark purple tie,Translation Error
1103,100-20-05-1,Boys dark purple tie Satin,Translation Error
1104,100-20-06,Boys purple tie,Translation Error
1105,100-20-07,Boys light purple tie,Translation Error
1106,100-20-07-1,Boys light purple tie Satin,Translation Error
1107,100-20-08,Boys turquoise tie,Translation Error
1109,100-20-13,Boys dark yellow tie,Translation Error
1110,100-20-14,Boys creme gold tie,Translation Error
1112,100-20-16,Boys lime green tie,Translation Error
1114,100-20-18,Boys dark silver tie,Translation Error
1116,100-20-20,Boys dark pink tie,Translation Error
1117,100-20-21,Boys light pink tie,Translation Error
1118,100-20-21-new,Boys light pink tie,Translation Error
1119,100-20-23,Boys mint green tie,Translation Error
1120,100-20-24,Boys apricot tie,Translation Error
1121,100-20-25,Boys dark coral tie,Translation Error
1122,100-20-26,Boys rust orange tie,Translation Error
1123,100-20-28,Boys mint blue tie,Translation Error
1124,100-20-31,Boys cerise pink tie,Translation Error
1125,100-20-33,Boys teal tie,Translation Error
1126,100-20-35,Boys burgundy tie,Translation Error
1127,100-20-37,Boys light coral tie,Translation Error
1128,100-20-38,Boys light yellow tie,Translation Error
1129,100-20-39,Boys extra light pink tie,Translation Error
1131,100-20-41,Boys green tie,Translation Error
1132,100-20-43,Boys gold tie,Translation Error
1133,100-20-44,Boys bronze tie,Translation Error
1134,100-20-45,Boys silver tie,Translation Error
1135,100-20-46,Boys yellow tie,Translation Error
1136,100-20-48,Boys coral tie,Translation Error
1137,100-20-50,Boys grey tie,Translation Error
1138,100-20-51,Boys midnight navy tie,Translation Error
1139,100-20-52,Boys rose purple tie,Translation Error
1140,100-20-53,Boys old pink tie,Translation Error
1141,100-20-53-1,Boys old pink tie,Translation Error
1142,100-20-54,Boys light green tie,Translation Error
1143,100-20-56,Boys salmon pink tie,Translation Error
1144,100-20-58,Boys grey tie,Translation Error
1145,100-21,Light pink tie,Translation Error
1146,100-22,Brown tie,Translation Error
1147,100-24,Apricot tie,Translation Error
1148,100-26,Rust orange tie,Translation Error
1149,100-27,Mustard yellow tie,Translation Error
1151,100-29,Olive green tie,Translation Error
1152,100-31,Cerise pink tie,Translation Error
1153,100-33,Teal tie,Translation Error
1155,100-38,Light yellow tie,Translation Error
1156,100-39,Extra light pink tie,Translation Error
1157,100-40,Red tie,Translation Error
1158,100-41,Green tie,Translation Error
1159,100-44,Bronze tie,Translation Error
1160,100-45,Silver tie,Translation Error
1162,100-50,Grey tie,Translation Error
1163,100-51,Midnight navy tie,Translation Error
1164,100-52,Rose purple tie,Translation Error
1165,100-53,Old pink tie,Translation Error
1166,100-55,Off white tie,Translation Error
1167,100-56,Salmon pink tie,Translation Error
1168,100-XL-01,White tie XL,Translation Error
1179,1100-20-31,Boys burgundy dotted tie,Translation Error
1190,1200-01,Extra skinny white tie,Translation Error
1191,1200-04,Extra skinny burgundy tie,Translation Error
1192,1200-09,Extra skinny navy tie,Translation Error
1193,1200-15,Extra skinny black tie,Translation Error
1194,1200-39,Extra skinny extra light pink tie,Translation Error
1201,200-01,Skinny white tie,Translation Error
1202,200-02,Skinny orange tie,Translation Error
1203,200-03,Skinny light red tie,Translation Error
1204,200-04,Skinny burgundy tie,Translation Error
1205,200-05,Skinny dark purple tie,Translation Error
1206,200-06,Skinny purple tie,Translation Error
1207,200-07,Skinny light purple tie,Translation Error
1208,200-08,Skinny turquoise tie,Translation Error
1209,200-09,Skinny navy tie,Translation Error
1210,200-10,Skinny blue tie,Translation Error
1211,200-11,Skinny light blue tie,Translation Error
1212,200-13,Skinny dark yellow tie,Translation Error
1213,200-14,Skinny creme gold tie,Translation Error
1214,200-15,Skinny black tie,Translation Error
1215,200-16,Skinny lime green tie,Translation Error
1216,200-17,Skinny dark green tie,Translation Error
1217,200-18,Skinny dark silver tie,Translation Error
1218,200-19,Skinny dark brown tie,Translation Error
1219,200-21,Skinny light pink tie,Translation Error
1220,200-22,Skinny brown tie,Translation Error
1221,200-23,Skinny mint green tie,Translation Error
1222,200-24,Skinny apricot tie,Translation Error
1223,200-26,Skinny rust orange tie,Translation Error
1224,200-27,Skinny mustard yellow tie,Translation Error
1225,200-28,Skinny mint blue tie,Translation Error
1226,200-29,Skinny olive green tie,Translation Error
1227,200-31,Skinny cerise pink tie,Translation Error
1228,200-33,Skinny teal tie,Translation Error
1230,200-38,Skinny light yellow tie,Translation Error
1231,200-39,Skinny extra light pink tie,Translation Error
1232,200-40,Skinny red tie,Translation Error
1233,200-41,Skinny green tie,Translation Error
1235,200-44,Skinny bronze tie,Translation Error
1236,200-45,Skinny silver tie,Translation Error
1237,200-46,Skinny yellow tie,Translation Error
1240,200-50,Skinny grey tie,Translation Error
1241,200-51,Skinny midnight navy tie,Translation Error
1242,200-52,Skinny rose purple tie,Translation Error
1243,200-53,Skinny old pink tie,Translation Error
1244,200-55,Skinny off white tie,Translation Error
1245,200-56,Skinny salmon pink tie,Translation Error
1246,200-57,Skinny pink tie,Translation Error
1380,3100-49,Purple paisley tie,Translation Error
1382,3100-56-NEW,Pink dotted tie,Translation Error
1389,3200-32,Skinny navy dotted tie,Translation Error
1390,3200-33,Skinny black dotted tie,Translation Error
1393,3200-43,Skinny red floral tie,Translation Error
1394,3200-44,Skinny blue floral tie,Translation Error
1395,3200-47,Skinny blue paisley tie,Translation Error
1396,3200-48,Skinny blue paisley tie,Translation Error
1397,3200-49,Skinny purple paisley tie,Translation Error
1398,3200-50,Skinny blue striped tie,Translation Error
1399,3200-51,Skinny white paisley tie,Translation Error
1400,3200-52,Skinny navy paisley tie,Translation Error
1401,3200-54,Skinny white floral tie,Translation Error
1403,3200-60,Skinny red paisley tie,Translation Error
1404,3200-61,Skinny black paisley tie,Translation Error
1406,3200-63,Skinny red paisley tie,Translation Error
1407,3200-70,Skinny red tie vernier,Translation Error
4181,BS-100-01,Black dotted tie,Translation Error
4186,BS-200-01,Skinny black dotted tie,Translation Error
4188,BS-200-03,Skinny blue dotted tie,Translation Error
4189,BS-200-04,Skinny black dotted tie,Translation Error
4191,BS-200-08,Skinny purple dotted tie,Translation Error
4192,BS-200-09,Skinny red dotted tie,Translation Error
4209,BSB-100-01,Blue dotted tie,Translation Error
4210,BSB-100-02,Blue dotted tie,Translation Error
4211,BSB-200-02,Skinny blue dotted tie,Translation Error
4212,BSB-200-03,Skinny grey dotted tie,Translation Error
4241,C100-16,Purple tie,Translation Error
4244,C100-2,Light blue tie,Translation Error
4246,C100-22,Red striped tie,Translation Error
4247,C100-4,Blue striped tie,Translation Error
4248,C100-5,Brown striped tie,Translation Error
4249,C100-8,Blue tie,Translation Error
4273,CHR-100-01,Navy Christmas tie Santa,Translation Error
4274,CHR-100-02,Green Christmas tie Santa,Translation Error
4275,CHR-100-03,Burgundy Christmas tie Santa,Translation Error
